Price,Close,Return
Ticker,SPY,
Date,,
2015-01-05,167.50880432128906,-0.01805969001123464
2015-01-06,165.93106079101562,-0.009418869274759212
2015-01-07,167.998779296875,0.012461310715439877
2015-01-08,170.97991943359375,0.017745010703028363
2015-01-09,169.60972595214844,-0.008013768435406687
2015-01-12,168.28111267089844,-0.007833355509487938
2015-01-13,167.80775451660156,-0.0028129012625593974
2015-01-14,166.79473876953125,-0.006036763616726004
2015-01-15,165.26673889160156,-0.009160959687349646
2015-01-16,167.43409729003906,0.013114304868441007
2015-01-20,167.79115295410156,0.002132514642128047
2015-01-21,168.63815307617188,0.005047942678491513
2015-01-22,171.1460418701172,0.014871419949746167
2015-01-23,170.20758056640625,-0.005483394728013291
2015-01-26,170.60623168945312,0.0023421466994610896
2015-01-27,168.3558349609375,-0.013190589266468988
2015-01-28,166.19677734375,-0.012824370582038003
2015-01-29,167.73304748535156,0.009243681894168354
2015-01-30,165.62379455566406,-0.012575058769332292
2015-02-02,167.6749725341797,0.012384560950426948
2015-02-03,170.0996551513672,0.014460611387267397
2015-02-04,169.45196533203125,-0.003807708009517019
2015-02-05,171.16258239746094,0.010094996904154163
2015-02-06,170.689208984375,-0.002765636078022604
2015-02-09,169.9252471923828,-0.004475747450807588
2015-02-10,171.73561096191406,0.010653883395453478
2015-02-11,171.83526611328125,0.0005802823934359935
2015-02-12,173.4876708984375,0.009616214543916257
2015-02-13,174.20187377929688,0.004116735657126114
2015-02-17,174.47586059570312,0.0015728121085158975
2015-02-18,174.4925079345703,9.541342172125766e-05
2015-02-19,174.36793518066406,-0.0007139146280880082
2015-02-20,175.41427612304688,0.006000764654916058
2015-02-23,175.389404296875,-0.00014178906484452192
2015-02-24,175.88766479492188,0.002840881409252649
2015-02-25,175.73806762695312,-0.0008505267731149235
2015-02-26,175.530517578125,-0.00118101929553871
2015-02-27,174.93263244628906,-0.0034061605929569527
2015-03-02,176.03709411621094,0.006313640025173539
2015-03-03,175.31466674804688,-0.004103836022691598
2015-03-04,174.57554626464844,-0.004215964911028602
2015-03-05,174.76654052734375,0.001094049348731696
2015-03-06,172.30853271484375,-0.014064521761906867
2015-03-09,173.02272033691406,0.0041448186623016525
2015-03-10,170.21588134765625,-0.016222372320769618
2015-03-11,169.81735229492188,-0.002341315331913174
2015-03-12,171.97634887695312,0.01271363940642356
2015-03-13,170.92176818847656,-0.00613212627994042
2015-03-16,173.20538330078125,0.013360586755611692
2015-03-17,172.6905059814453,-0.002972640396758486
2015-03-18,174.76654052734375,0.012021706312688174
2015-03-19,173.9693603515625,-0.0045614004452787515
2015-03-20,175.50497436523438,0.008826922226814249
2015-03-23,175.16297912597656,-0.001948635589929748
2015-03-24,174.17872619628906,-0.005619069363850149
2015-03-25,171.62632751464844,-0.014653906004366002
2015-03-26,171.21766662597656,-0.002381108391642295
2015-03-27,171.6096954345703,0.002289651624853173
2015-03-30,173.70327758789062,0.012199672914858795
2015-03-31,172.18519592285156,-0.008739510768706937
2015-04-01,171.5762939453125,-0.0035363201480566042
2015-04-02,172.19354248046875,0.003597516422361835
2015-04-06,173.35296630859375,0.006733259629968513
2015-04-07,172.8942108154297,-0.0026463665602780573
2015-04-08,173.47805786132812,0.003376903385861274
2015-04-09,174.24545288085938,0.004423585489668591
2015-04-10,175.19631958007812,0.005457053159768188
2015-04-13,174.40391540527344,-0.004522949892463379
2015-04-14,174.7375946044922,0.0019132552067042674
2015-04-15,175.52162170410156,0.004486882753444998
2015-04-16,175.47154235839844,-0.0002853172459148512
2015-04-17,173.45301818847656,-0.011503427523302134
2015-04-20,175.03787231445312,0.00913708012998904
2015-04-21,174.82936096191406,-0.00119123564393242
2015-04-22,175.68850708007812,0.004914198126888092
2015-04-23,176.13052368164062,0.0025159107383219137
2015-04-24,176.53929138183594,0.0023208226016189215
2015-04-27,175.80526733398438,-0.004157850879008884
2015-04-28,176.3640899658203,0.003178645556588089
2015-04-29,175.638427734375,-0.004114569080281294
2015-04-30,173.87843322753906,-0.010020554895296852
2015-05-01,175.76353454589844,0.010841490134043896
2015-05-04,176.2639617919922,0.0028471619405392445
2015-05-05,174.24545288085938,-0.011451625678962296
2015-05-06,173.5281219482422,-0.004116784230275838
2015-05-07,174.22048950195312,0.003989944372920995
2015-05-08,176.5142059326172,0.013165595144527087
2015-05-11,175.6717987060547,-0.0047724613557963425
2015-05-12,175.14630126953125,-0.002991359116227499
2015-05-13,175.1796875,0.00019061910087025957
2015-05-14,177.00637817382812,0.010427525587566322
2015-05-15,177.1982421875,0.0010839384187808498
2015-05-18,177.74871826171875,0.003106554937696737
2015-05-19,177.69033813476562,-0.0003284419011515549
2015-05-20,177.56520080566406,-0.000704243857123199
2015-05-21,178.08233642578125,0.0029123703167670545
2015-05-22,177.65695190429688,-0.002388695757378878
2015-05-26,175.74684143066406,-0.010751678744672977
2015-05-27,177.4150848388672,0.009492309475509275
2015-05-28,177.21490478515625,-0.0011283147309190111
2015-05-29,176.11386108398438,-0.006213042308753414
2015-06-01,176.4725341796875,0.0020365977640572908
2015-06-02,176.29736328125,-0.0009926241454613072
2015-06-03,176.7645263671875,0.002649858609582445
2015-06-04,175.2714080810547,-0.008446933990766903
2015-06-05,174.9711151123047,-0.0017133026546527486
2015-06-08,173.89515686035156,-0.006149347858145138
2015-06-09,173.87008666992188,-0.0001441684224122719
2015-06-10,175.95538330078125,0.011993418021457147
2015-06-11,176.52256774902344,0.0032234560693868985
2015-06-12,175.1713409423828,-0.007654697208811179
2015-06-15,174.42063903808594,-0.004285529243872155
2015-06-16,175.37155151367188,0.005451834604150774
2015-06-17,175.6550750732422,0.0016167021225685918
